"Group","","#","Mnemonic","Flag Set","O1","O2","O3","O4","","opcode_name","","t_O1","","t_O2","","t_O3","","t_O4","","FT","FO","swz","c_F","s_O1","s_O2","s_O3","s_O4","Chk","enc","","","","","","","","","","","","","","","","","",""
"","","104","LOADXB","STORE_LOAD","r_dst","r_src_addr","imm_off","","Reg[Rd] = Mem[Reg[Rsrc] & 0x3FFFF + Off]
IF I THEN increment low 18 bits of Reg[Rsrc] by upper 14 bits
IF X THEN sign-extend Reg[Rd]
(8 bit load)","LOADXB_IO","1","Reg","6","Reg","6","U10","10","","0","","","1234","2","6","6","10","0","24","F2_B6_B6_B10","","","","","","","","","","","","","","","","","",""
"","","105","LOADXH","STORE_LOAD","r_dst","r_src_addr","imm_off","","Reg[Rd] = Mem[Reg[Rsrc] & 0x3FFFF + Off]
IF I THEN increment low 18 bits of Reg[Rsrc] by upper 14 bits
IF X THEN sign-extend Reg[Rd]
(16 bit load)","LOADXH_IO","1","Reg","6","Reg","6","U10","10","","0","","","1234","2","6","6","10","0","24","F2_B6_B6_B10","","","","","","","","","","","","","","","","","",""
"","","106","LOADXW","STORE_LOAD","r_dst","r_src_addr","imm_off","","Reg[Rd] = Mem[Reg[Rsrc] & 0x3FFFF + Off]
IF I THEN increment low 18 bits of Reg[Rsrc] by upper 14 bits
IF X THEN sign-extend Reg[Rd]
(32 bit load)","LOADXW_IO","1","Reg","6","Reg","6","U10","10","","0","","","1234","2","6","6","10","0","24","F2_B6_B6_B10","","","","","","","","","","","","","","","","","",""
"","","107","STOREXB","STORE_LOAD","r_dst_addr","r_off","r_src","","Mem[(Reg[Rd] & 0x3FFFF) + Reg[Roff]] = Reg[Rv]
IF I THEN increment low 18 bits of Reg[Rd] by upper 14 bits
(8 bit store)","STOREXB","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","108","STOREXH","STORE_LOAD","r_dst_addr","r_off","r_src","","Mem[(Reg[Rd] & 0x3FFFF) + Reg[Roff]] = Reg[Rv]
IF I THEN increment low 18 bits of Reg[Rd] by upper 14 bits
(16 bit store)","STOREXH","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","109","STOREXW","STORE_LOAD","r_dst_addr","r_off","r_src","","Mem[(Reg[Rd] & 0x3FFFF) + Reg[Roff]] = Reg[Rv]
IF I THEN increment low 18 bits of Reg[Rd] by upper 14 bits
(32 bit store)","STOREXW","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","110","STOREXB","STORE_LOAD","r_dst_addr","imm_off","r_src","","Mem[(Reg[Rd] & 0x3FFFF) + Off] = Reg[Rv]
IF I THEN increment low 18 bits of Reg[Rd] by upper 14 bits
(8 bit store)","STOREXB_IO","1","Reg","6","U10","10","Reg","6","","0","","","132","2","6","6","10","","24","F2_B6_B6_B10","","","","","","","","","","","","","","","","","",""
"","","111","STOREXH","STORE_LOAD","r_dst_addr","imm_off","r_src","","Mem[(Reg[Rd] & 0x3FFFF) + Off] = Reg[Rv]
IF I THEN increment low 18 bits of Reg[Rd] by upper 14 bits
(16 bit store)","STOREXH_IO","1","Reg","6","U10","10","Reg","6","","0","","","132","2","6","6","10","","24","F2_B6_B6_B10","","","","","","","","","","","","","","","","","",""
"","","112","STOREXW","STORE_LOAD","r_dst_addr","imm_off","r_src","","Mem[(Reg[Rd] & 0x3FFFF) + Off] = Reg[Rv]
IF I THEN increment low 18 bits of Reg[Rd] by upper 14 bits
(32 bit store)","STOREXW_IO","1","Reg","6","U10","10","Reg","6","","0","","","132","2","6","6","10","","24","F2_B6_B6_B10","","","","","","","","","","","","","","","","","",""
"Stack/Function Calls","","113","PUSH","","r1","r2","r3","r4","Stack[SP++] = Reg[R1]; repeat for R2-R4 unless 0x3F (ignored)","PUSH","1","Reg","6","Reg","6","Reg","6","Reg","6","","","1234","0","6","6","6","6","24","B6_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","114","PUSH","","imm","","","","Stack[SP++] = Imm","PUSH_I","1","S24","24","","0","","0","","0","Abs","1","1234","0","24","0","0","0","24","B24","","","","","","","","","","","","","","","","","",""
"","","115","POP","","r4","r3","r2","r1","Reg[R1] = Stack[--SP]; repeat for R2-R4 unless 0x3F (ignored)","POP","1","Reg","6","Reg","6","Reg","6","Reg","6","","","1234","0","6","6","6","6","24","B6_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","116","DSC","","imm","","","","SP -= Imm (Imm defaults to 1)","DSC","1","U24","24","","0","","0","","0","","","1234","0","24","0","0","0","24","B24","","","","","","","","","","","","","","","","","",""
"","","117","SWP","","","","","","Swap TOS and TOS^1","SWP","1","","0","","0","","0","","0","","","1234","0","0","0","0","0","0","NONE","","","","","","","","","","","","","","","","","",""
"","","118","DUP","","","","","","Stack[SP] = Stack[SP-1]; SP++","DUP","1","","0","","0","","0","","0","","","1234","0","0","0","0","0","0","NONE","","","","","","","","","","","","","","","","","",""
"","","119","RSV","","imm","","","","SP = BP + Imm","RSV","1","U24","24","","0","","0","","0","","","1234","0","24","0","0","0","24","B24","","","","","","","","","","","","","","","","","",""
"","","120","NARGS","","r_dst","","","","Reg[Rd] = NARGS","NARGS","1","Reg","6","","0","","0","","0","","","1234","0","6","0","0","0","6","B6","","","","","","","","","","","","","","","","","",""
"","","121","BCALL","","","","","","Reserved for future use (built-in functions)","BCALL","1","","0","","0","","0","","0","","","1234","0","0","0","0","0","0","NONE","","","","","","","","","","","","","","","","","",""
"","","122","CALL","NULL2","r_ret","r_fn","n_args","","Call function address in Rfn, return value stored in Rr","CALL","1","Reg","6","Reg","6","U6","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","123","CALL","","r_ret","imm_rel","n_args","","Call function address relative to PC, return value stored in Rr","CALL_REL","1","Reg","6","CT","12","U6","6","","0","Call","2","132","0","6","6","12","","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","124","CALL","","r_ret","imm_abs","n_args","","Call function with absolute address, return value stored in Rr","CALL_ABS","1","Reg","6","U12","12","U6","6","","0","Call","2","132","0","6","6","12","","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","125","CALL","","r_ret","imm_ind","n_args","","Call function indirectly through jump table entry Idx, return value stored in Rr","CALL_IND","1","Reg","6","U12","12","U6","6","","0","Call","2","132","0","6","6","12","","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","126","RET","","imm","","","","Return immediate value","RET_I","1","S24","24","","0","","0","","0","Abs","1","1234","0","24","0","0","0","24","B24","","","","","","","","","","","","","","","","","",""
"","","127","RET","","r_ret","","","","Return Reg[Rr]","RET","1","Reg","6","","0","","0","","0","","","1234","0","6","0","0","0","6","B6","","","","","","","","","","","","","","","","","",""
"END","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future...","","","RAND","","Rd","Rs","Rmin","Rmax","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","RAND","","Rd","Rs","Max","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","BLIT2","","Rdst","Rsrc","Rsprite","Rflags","Rdst - packed address + stride
Rsrc - packed address + stride
Rsprite - width + height
Rflags - colour key, h/v flip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","BLIT4","","Rdst","Rsrc","Rsprite","Rflags","Rdst - packed address + stride
Rsrc - packed address + stride
Rsprite - width + height
Rflags - colour key, h/v flip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","BLIT8","","Rdst","Rsrc","Rsprite","Rflags","Rdst - packed address + stride
Rsrc - packed address + stride
Rsprite - width + height
Rflags - colour key, h/v flip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","MEMSET","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","MEMCPY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","CLAMP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","LERP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","NOISE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","CSAVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","CREST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","PACK","","Rdst","Rsrc","shift","width","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","UNPACK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SWZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","LROT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","RROT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
